Gene.name	Chromosome	Start	end
AP006222.2	1	257864	297502
RP4-669L17.10	1	365389	501617
RP11-206L10.9	1	778770	810060
FAM41C	1	868071	876903
NOC2L	1	944204	959309
PLEKHN1	1	966497	975865
ISG15	1	1001138	1014541
AGRN	1	1020123	1056118
C1orf159	1	1081818	1116361
TNFRSF18	1	1203508	1206691
TNFRSF4	1	1211326	1214138
CPSF3L	1	1311585	1324691
CPTP	1	1324756	1328897
TAS1R3	1	1331314	1335306
AURKAIP1	1	1373730	1375495
CCNL2	1	1385711	1399328
MRPL20	1	1401908	1407313
ATAD3C	1	1449689	1470158
ATAD3B	1	1471769	1497848
ATAD3A	1	1512151	1534687
SSU72	1	1541673	1574869
RP5-832C2.5	1	1574975	1577075
RP11-345P4.9	1	1613758	1615795
MIB2	1	1615415	1630610
CDK11B	1	1635227	1659012
SLC35E2B	1	1659529	1692728
CDK11A	1	1702730	1724324
NADK	1	1751232	1780457
GNB1	1	1785285	1891117
TMEM52	1	1917590	1919273
RP11-547D24.3	1	2049203	2050070
PRKCZ	1	2050470	2185395
FAAP20	1	2184461	2212720
SKI	1	2228695	2310119
RER1	1	2391775	2405444
PEX10	1	2403964	2413797
PANK4	1	2508533	2526628
RP3-395M20.12	1	2546465	2547460
RP3-395M20.8	1	2549920	2557031
TNFRSF14	1	2555639	2565382
FAM213B	1	2586491	2591469
TTC34	1	2635976	2789755
WRAP73	1	3630767	3652761
SMIM1	1	3772788	3775982
LRRC47	1	3778558	3796504
CEP104	1	3812081	3857214
C1orf174	1	3889125	3900293
NPHP4	1	5862811	5992473
KCNAB2	1	5991466	6101193
RPL22	1	6181269	6209389
RP1-120G22.11	1	6204840	6205780
RNF207	1	6205475	6221299
ICMT	1	6221193	6235972
ACOT7	1	6264269	6394391
ESPN	1	6424788	6461370
ZBTB48	1	6580001	6589280
PHF13	1	6613685	6624033
THAP3	1	6624866	6635586
DNAJC11	1	6634168	6701924
CAMTA1	1	6785324	7769706
VAMP3	1	7771269	7781432
PARK7	1	7954291	7985505
ERRFI1	1	8004404	8026308
RERE	1	8352397	8817643
ENO1	1	8861002	8879249
MIR34AHG	1	9148011	9196983
H6PD	1	9234775	9271337
SPSB1	1	9292880	9369532
SLC25A33	1	9539482	9585179
TMEM201	1	9588922	9614873
PIK3CD-AS2	1	9672426	9687555
CTNNBIP1	1	9848276	9910336
NMNAT1	1	9943428	9985501
UBE4B	1	10032832	10181239
KIF1B	1	10210805	10381603
PGD	1	10398592	10420144
MFN2	1	11980181	12013514
CASP9	1	15490832	15526534
AGMAT	1	15572353	15585110
PLEKHM2	1	15684332	15734769
FBLIM1	1	15756607	15786594
UQCRHL	1	15807169	15809348
FLJ37453	1	15834474	15848147
SPEN	1	15847864	15940460
MFAP2	1	16974502	16980835
